f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 6171.057840 84920000 158676 174873.768758
1+1E-0.187942 1+1E-6 1138.034347 14880000 29536 30642.035788
1+1E-0.546643 1+1E-6 296.161105 3950000 7414 8134.175281
1+1E-0.875664 1+1E-6 251.090724 3340000 6194 6878.011503
1+1E-1.190478 1+1E-6 329.962035 4360000 8289 8978.464026
1+1E-1.498346 1+1E-6 1010.318084 13290000 25504 27367.785996
1+1E-1.802783 1+1E-6 1189.278382 16120000 29982 33195.538770
1+1E-2.105512 1+1E-6 1366.034079 18470000 35823 38034.838777
1+1E-2.407391 1+1E-6 2082.745266 28360000 56890 58401.084338
1+1E-2.708846 1+1E-6 2619.220466 35790000 66351 73701.509466
1+1E-3.010088 1+1E-6 1744.016162 23720000 44325 48846.040920
1+1E-3.311224 1+1E-6 5865.890765 79440000 147754 163588.932997
1+1E-3.612307 1+1E-6 5360.365196 71940000 136519 148144.358507
1+1E-3.913363 1+1E-6 7544.348862 101590000 188887 209201.909657
1+1E-4.214407 1+1E-6 13187.845837 176810000 328632 364100.695408
1+1E-4.515443 1+1E-6 18578.616519 252090000 470180 519123.037755
1+1E-4.816477 1+1E-6 25844.911074 350030000 654258 720808.587827
1+1E-5.117508 1+1E-6 34135.488684 461320000 859356 949985.480491
1+1E-5.418539 1+1E-6 56452.052156 768370000 1425644 1582286.360108
1+1E-5.719570 1+1E-6 71025.785321 966540000 1797790 1990373.203663
256193
